file_id,start,end,label,score,source,enter,exit,median_k
troglin.M4A,14.000000,21.000000,Speech,0.8235,cnn14,0.50,0.35,5
troglin.M4A,22.000000,128.000000,Vehicle,0.6469,cnn14,0.50,0.35,5
troglin.M4A,58.000000,62.000000,Speech,0.7757,cnn14,0.50,0.35,5
troglin.M4A,112.000000,117.000000,Speech,0.7940,cnn14,0.50,0.35,5
troglin.M4A,120.000000,125.000000,Speech,0.7763,cnn14,0.50,0.35,5
troglin.M4A,128.000000,135.000000,Speech,0.8242,cnn14,0.50,0.35,5
troglin.M4A,133.000000,138.000000,Vehicle,0.5858,cnn14,0.50,0.35,5
troglin.M4A,135.000000,145.000000,Speech,0.8140,cnn14,0.50,0.35,5
troglin.M4A,141.000000,190.000000,Vehicle,0.5855,cnn14,0.50,0.35,5
troglin.M4A,165.000000,167.000000,Speech,0.6488,cnn14,0.50,0.35,5
troglin.M4A,189.000000,207.000000,Speech,0.8405,cnn14,0.50,0.35,5
troglin.M4A,213.000000,230.000000,Speech,0.7345,cnn14,0.50,0.35,5
troglin.M4A,235.000000,241.000000,Speech,0.8413,cnn14,0.50,0.35,5
troglin.M4A,237.000000,241.000000,Radio,0.5144,cnn14,0.50,0.35,5
troglin.M4A,366.000000,369.000000,Speech,0.5363,cnn14,0.50,0.35,5
troglin.M4A,376.000000,391.000000,Speech,0.8432,cnn14,0.50,0.35,5
troglin.M4A,426.000000,435.000000,Speech,0.6669,cnn14,0.50,0.35,5
troglin.M4A,475.000000,479.000000,Speech,0.5436,cnn14,0.50,0.35,5
troglin.M4A,607.000000,614.000000,Vehicle,0.5966,cnn14,0.50,0.35,5
troglin.M4A,691.000000,694.000000,Speech,0.6326,cnn14,0.50,0.35,5
troglin.M4A,901.000000,912.000000,Speech,0.6795,cnn14,0.50,0.35,5
troglin.M4A,914.000000,928.000000,Speech,0.7600,cnn14,0.50,0.35,5
troglin.M4A,932.000000,999.000000,Speech,0.8744,cnn14,0.50,0.35,5
troglin.M4A,1022.000000,1032.000000,Speech,0.7641,cnn14,0.50,0.35,5
troglin.M4A,1111.000000,1114.000000,Music,0.5656,cnn14,0.50,0.35,5
troglin.M4A,1125.000000,1129.000000,Music,0.6389,cnn14,0.50,0.35,5
troglin.M4A,1150.000000,1153.000000,Music,0.5102,cnn14,0.50,0.35,5
troglin.M4A,1222.000000,1226.000000,Music,0.7340,cnn14,0.50,0.35,5
troglin.M4A,1272.000000,1281.000000,Speech,0.8288,cnn14,0.50,0.35,5
troglin.M4A,1283.000000,1288.000000,Speech,0.8583,cnn14,0.50,0.35,5
troglin.M4A,1292.000000,1312.000000,Speech,0.8311,cnn14,0.50,0.35,5
troglin.M4A,1329.000000,1338.000000,Speech,0.8039,cnn14,0.50,0.35,5
troglin.M4A,1427.000000,1442.000000,Speech,0.8426,cnn14,0.50,0.35,5
troglin.M4A,1449.000000,1451.000000,Speech,0.5181,cnn14,0.50,0.35,5
troglin.M4A,1452.000000,1455.000000,Speech,0.5181,cnn14,0.50,0.35,5
troglin.M4A,1456.000000,1458.000000,Speech,0.6129,cnn14,0.50,0.35,5
troglin.M4A,1465.000000,1483.000000,Speech,0.8471,cnn14,0.50,0.35,5
troglin.M4A,1487.000000,1489.000000,Speech,0.6667,cnn14,0.50,0.35,5
troglin.M4A,1490.000000,1505.000000,Speech,0.8871,cnn14,0.50,0.35,5
troglin.M4A,1586.000000,1659.000000,Speech,0.8960,cnn14,0.50,0.35,5
troglin.M4A,1661.000000,1679.000000,Speech,0.8629,cnn14,0.50,0.35,5
troglin.M4A,1683.000000,1694.000000,Speech,0.8444,cnn14,0.50,0.35,5
troglin.M4A,1705.000000,1804.000000,Speech,0.9085,cnn14,0.50,0.35,5
troglin.M4A,1823.000000,1859.000000,Speech,0.8801,cnn14,0.50,0.35,5
troglin.M4A,1831.000000,1836.000000,Vehicle,0.5093,cnn14,0.50,0.35,5
troglin.M4A,1860.000000,1863.000000,Speech,0.6781,cnn14,0.50,0.35,5
troglin.M4A,1925.000000,1928.000000,Fowl,0.6320,cnn14,0.50,0.35,5
troglin.M4A,1947.000000,2001.000000,Speech,0.9080,cnn14,0.50,0.35,5
troglin.M4A,2003.000000,2008.000000,Vehicle,0.5411,cnn14,0.50,0.35,5
troglin.M4A,2008.000000,2029.000000,Speech,0.8670,cnn14,0.50,0.35,5
troglin.M4A,2031.000000,2082.000000,Speech,0.8745,cnn14,0.50,0.35,5
troglin.M4A,2097.000000,2101.000000,Speech,0.8031,cnn14,0.50,0.35,5
troglin.M4A,2117.000000,2169.000000,Speech,0.8859,cnn14,0.50,0.35,5
troglin.M4A,2171.000000,2183.000000,Speech,0.8493,cnn14,0.50,0.35,5
troglin.M4A,2198.000000,2234.000000,Speech,0.8972,cnn14,0.50,0.35,5
troglin.M4A,2247.000000,2267.000000,Speech,0.8270,cnn14,0.50,0.35,5
troglin.M4A,2274.000000,2278.000000,Speech,0.8565,cnn14,0.50,0.35,5
troglin.M4A,2295.000000,2299.000000,Speech,0.7077,cnn14,0.50,0.35,5
troglin.M4A,2302.000000,2318.000000,Speech,0.7236,cnn14,0.50,0.35,5
troglin.M4A,2319.000000,2327.000000,Speech,0.8461,cnn14,0.50,0.35,5
troglin.M4A,2332.000000,2337.000000,Speech,0.8318,cnn14,0.50,0.35,5
troglin.M4A,2344.000000,2352.000000,Speech,0.5020,cnn14,0.50,0.35,5
troglin.M4A,2353.000000,2360.000000,Speech,0.8191,cnn14,0.50,0.35,5
troglin.M4A,2363.000000,2368.000000,Speech,0.7103,cnn14,0.50,0.35,5
troglin.M4A,2372.000000,2376.000000,Speech,0.8124,cnn14,0.50,0.35,5
troglin.M4A,2379.000000,2409.000000,Speech,0.8810,cnn14,0.50,0.35,5
troglin.M4A,2432.000000,2458.000000,Speech,0.8899,cnn14,0.50,0.35,5
troglin.M4A,2473.000000,2486.000000,Speech,0.8516,cnn14,0.50,0.35,5
troglin.M4A,2505.000000,2509.000000,Speech,0.8422,cnn14,0.50,0.35,5
troglin.M4A,2518.000000,2524.000000,Speech,0.8009,cnn14,0.50,0.35,5
troglin.M4A,2527.000000,2556.000000,Speech,0.8907,cnn14,0.50,0.35,5
troglin.M4A,2566.000000,2570.000000,Speech,0.7711,cnn14,0.50,0.35,5
troglin.M4A,2587.000000,2596.000000,Speech,0.8740,cnn14,0.50,0.35,5
troglin.M4A,2603.000000,2607.000000,Speech,0.7782,cnn14,0.50,0.35,5
troglin.M4A,2613.000000,2621.000000,Speech,0.8370,cnn14,0.50,0.35,5
troglin.M4A,2626.000000,2630.000000,Speech,0.7239,cnn14,0.50,0.35,5
troglin.M4A,2658.000000,2663.000000,Speech,0.7182,cnn14,0.50,0.35,5
troglin.M4A,2687.000000,2700.000000,Speech,0.8755,cnn14,0.50,0.35,5
troglin.M4A,2802.000000,2812.000000,Speech,0.8600,cnn14,0.50,0.35,5
troglin.M4A,2814.000000,2890.000000,Speech,0.9045,cnn14,0.50,0.35,5
troglin.M4A,2892.000000,2896.000000,Speech,0.7964,cnn14,0.50,0.35,5
troglin.M4A,2895.000000,2901.000000,Music,0.6576,cnn14,0.50,0.35,5
troglin.M4A,2906.000000,2915.000000,Speech,0.7439,cnn14,0.50,0.35,5
troglin.M4A,2919.000000,2935.000000,Speech,0.8664,cnn14,0.50,0.35,5
troglin.M4A,2940.000000,2973.000000,Speech,0.8920,cnn14,0.50,0.35,5
troglin.M4A,2974.000000,2977.000000,Speech,0.7913,cnn14,0.50,0.35,5
troglin.M4A,2980.000000,2991.000000,Speech,0.8411,cnn14,0.50,0.35,5
troglin.M4A,3015.000000,3020.000000,Speech,0.8476,cnn14,0.50,0.35,5
troglin.M4A,3023.000000,3053.000000,Speech,0.8751,cnn14,0.50,0.35,5
